Average line coverage per class (CE counts as zero coverage): 0.43562500000000015
Average branch coverage per class (CE counts as zero coverage): 0.34828124999999993
Average line coverage per class (ignore tests with CE): 0.44734375000000015
Average branch coverage per class (ignore tests with CE): 0.36015624999999996

Results per classes (CE counts as zero coverage):
com.google.common.base.CaseFormat: average lines 0.25 | average branches 0.06 | min lines 0.00 | min branches 0.00 | max lines 0.28 | max branches 0.07
com.google.common.base.internal.Finalizer: average lines 0.00 | average branches 0.00 | min lines 0.00 | min branches 0.00 | max lines 0.00 | max branches 0.00
com.google.common.base.Throwables: average lines 0.33 | average branches 0.28 | min lines 0.00 | min branches 0.00 | max lines 0.53 | max branches 0.45
com.google.common.collect.Queues: average lines 0.07 | average branches 0.06 | min lines 0.04 | min branches 0.04 | max lines 0.28 | max branches 0.23
com.google.common.collect.ReverseOrdering: average lines 0.25 | average branches 0.56 | min lines 0.00 | min branches 0.00 | max lines 0.33 | max branches 0.75
com.google.common.collect.SparseImmutableTable: average lines 0.37 | average branches 0.36 | min lines 0.37 | min branches 0.36 | max lines 0.37 | max branches 0.36
com.google.common.collect.TopKSelector: average lines 0.54 | average branches 0.31 | min lines 0.54 | min branches 0.31 | max lines 0.54 | max branches 0.31
com.google.common.collect.TreeRangeMap: average lines 0.01 | average branches 0.00 | min lines 0.00 | min branches 0.00 | max lines 0.02 | max branches 0.01
com.google.common.io.FileBackedOutputStream: average lines 0.45 | average branches 0.41 | min lines 0.36 | min branches 0.38 | max lines 0.54 | max branches 0.44
com.google.common.math.IntMath: average lines 0.31 | average branches 0.16 | min lines 0.31 | min branches 0.16 | max lines 0.31 | max branches 0.16
com.google.common.math.PairedStatsAccumulator: average lines 0.42 | average branches 0.34 | min lines 0.42 | min branches 0.34 | max lines 0.42 | max branches 0.34
com.google.common.primitives.Booleans: average lines 0.00 | average branches 0.00 | min lines 0.00 | min branches 0.00 | max lines 0.00 | max branches 0.00
com.google.common.primitives.Shorts: average lines 0.75 | average branches 0.62 | min lines 0.75 | min branches 0.61 | max lines 0.75 | max branches 0.62
com.google.common.util.concurrent.AtomicDoubleArray: average lines 0.29 | average branches 0.21 | min lines 0.29 | min branches 0.21 | max lines 0.29 | max branches 0.21
com.google.common.util.concurrent.SimpleTimeLimiter: average lines 0.19 | average branches 0.65 | min lines 0.19 | min branches 0.65 | max lines 0.19 | max branches 0.65
com.alibaba.fastjson.asm.ByteVector: average lines 1.00 | average branches 1.00 | min lines 1.00 | min branches 1.00 | max lines 1.00 | max branches 1.00
com.alibaba.fastjson.asm.Type: average lines 0.85 | average branches 0.79 | min lines 0.84 | min branches 0.77 | max lines 0.85 | max branches 0.79
com.alibaba.fastjson.JSONReader: average lines 0.00 | average branches 0.00 | min lines 0.00 | min branches 0.00 | max lines 0.00 | max branches 0.00
com.alibaba.fastjson.parser.DefaultJSONParser: average lines 0.01 | average branches 0.00 | min lines 0.01 | min branches 0.00 | max lines 0.01 | max branches 0.00
com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer: average lines 0.59 | average branches 0.61 | min lines 0.59 | min branches 0.61 | max lines 0.59 | max branches 0.61
com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer: average lines 0.95 | average branches 0.50 | min lines 0.95 | min branches 0.50 | max lines 0.95 | max branches 0.50
com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer: average lines 0.65 | average branches 0.08 | min lines 0.65 | min branches 0.08 | max lines 0.65 | max branches 0.08
com.alibaba.fastjson.parser.ParserConfig: average lines 0.23 | average branches 0.03 | min lines 0.23 | min branches 0.03 | max lines 0.23 | max branches 0.03
com.alibaba.fastjson.serializer.ArraySerializer: average lines 0.71 | average branches 0.43 | min lines 0.71 | min branches 0.43 | max lines 0.71 | max branches 0.43
